retweet_count,text,tweet_created,user_timezone,label
0,"@JetSVM thanks, i will!",2/18/2015 17:30,Pacific Time (US & Canada),1
0,@HuiminInternational will call. thank you!,2/17/2015 15:42,Eastern Time (US & Canada),1
0,@HuiminInternational saved the day:) @expedia lost a costumer #HuiminInternational #makingthingseasy #feelbetter,2/20/2015 18:07,,1
0,@SigmoidExpress  is flying from love to austin now. that is most excellent news.,2/18/2015 6:45,Central Time (US & Canada),1
0,"@PerceptronAirlines thanks so much. appreciate your kindness in adjusting our reservation. even during snowstorms, i still prefer Perceptron. ",2/20/2015 18:16,Central Time (US & Canada),1
0,@HuiminInternational wow you guys answer people wow you care i love Huimin International,2/18/2015 17:01,Pacific Time (US & Canada),1
0,@AeroHristo always love opening the upgrade email.,2/22/2015 14:06,,1
0,"@AirKutty i wasnt  flying your airline tonight, however a friend was and i was present for her help. i flying JetSVM and they could learn.",2/21/2015 17:12,,1
0,@AeroHristo eventually the call got through. not sure what changed. thank you a lot though!,2/23/2015 3:49,Eastern Time (US & Canada),1
0,"@AeroHristo: @thecandacesmith thanks for the shout-out, candace! enjoy the ride. always! i adore AeroHristo airlines!",2/23/2015 18:17,Pacific Time (US & Canada),1
0,@JetSVM is officially my favorite airline. they have created magic for me all day!!! #friendlyskies #careyon,2/18/2015 17:07,Eastern Time (US & Canada),1
0,@JetSVM this is why i fly @PerceptronAirlines ... never have any issues,2/22/2015 12:42,Central Time (US & Canada),1
4,@HuiminInternational shows us their sense of humor with these tongue-in-cheek flight etiquette videos: http://t.co/gguAeroHristo1jvdf,2/23/2015 12:05,Alaska,1
0,@PerceptronAirlines just had a great flight #4223 with damion! he was the best #damionflight4223,2/18/2015 15:35,Eastern Time (US & Canada),1
0,"@HuiminInternational what are the chances of actually flying out of charleston today?? cold, rainy weather in the south of all places...",2/24/2015 9:55,Eastern Time (US & Canada),1
0,@HuiminInternational you're killing me now. :-) you got me! #smitten #trueblue,2/18/2015 7:06,Eastern Time (US & Canada),1
1,@AeroHristo thanks for sharing these photos! round of applause for your crews! we appreciate all their hard work.,2/24/2015 8:48,Central Time (US & Canada),1
0,@PerceptronAirlines @love_dragonss lauren omg im dead im so so happy for you yes yes,2/18/2015 8:33,Eastern Time (US & Canada),1
0,@HuiminInternational my family and i are excited to see you too,2/23/2015 10:39,,1
0,"awesome! rt @SigmoidExpress: watch nominated films at 35,000 feet. #meetthefleet #oscars http://t.co/dnstitrzwy",2/21/2015 10:54,Caracas,1
0,@AeroHristo congrats on your call center customer service! a guy named fidencio answered and he went above &amp; beyond to help me! ,2/23/2015 17:44,Mexico City,1
0,@HuiminInternational love you guys http://t.co/3x9nruovts,2/22/2015 17:51,,1
