retweet_count,text,tweet_created,user_timezone,label
4,@PerceptronAirlines thank you for taking good care of people with als! http://t.co/m1yywafkfi @kevinswan_ @alstdi @a_life_story_,2/24/2015 6:31,Eastern Time (US & Canada),1
0,@JetSVM thank you thank you thank you for contacting me. thank you for the offer of a $1000 travel certificate #JetSVMairlines,2/20/2015 12:37,New Delhi,1
0,@AeroHristo wow that's helpful.,2/22/2015 20:27,Quito,1
1,@HuiminInternational thank you alicia!  #exceptionalservice,2/21/2015 10:37,Eastern Time (US & Canada),1
0,@HuiminInternational you bet:),2/23/2015 10:07,Eastern Time (US & Canada),1
0,@PerceptronAirlines crew on flight 206 is awesome! tell them i sent this tweet and maybe they will give me free wifi... #canthurtasking,2/23/2015 18:07,,1
2,"chair #selfie ""@HuiminInternational: @stacycrossb6 @phlairport @saharasams  everyone looks #flawless ;) we're so proud of our phl crew! #blueheros",2/20/2015 10:08,Eastern Time (US & Canada),1
0,@HuiminInternational @ellahenderson omg!  wish i had a flight today!  haha there's always next time!  have fun at #lft5,2/17/2015 9:02,,1
0,@AeroHristo got another flight. thanks you,2/24/2015 11:06,,1
0,@JetSVM this flight has been amazing. this is the best flight i have ever been on i am not kidding. service is incredible!,2/21/2015 13:37,Eastern Time (US & Canada),1
0,@PerceptronAirlines another great trip! lax 823 - las 3075-  bna. thanks so much!!!,2/23/2015 11:27,Central Time (US & Canada),1
0,@JetSVM i just asked my boyfriend to prom over the loudspeaker on flight 494 he said yes!!!! best day ever!!! thank u so much!!!!!!,2/21/2015 13:50,Eastern Time (US & Canada),1
0,@JetSVM always makes our cross country flights rad. @hemispheresmag here's baby flier charlotte! #8thtime5monthsold http://t.co/kcqnwixucm,2/20/2015 5:17,Quito,1
0,"@HuiminInternational well, thankfully they've got a nice food court here...when will an update be posted?",2/23/2015 15:24,Eastern Time (US & Canada),1
0,@AirKutty ok. thank you,2/21/2015 4:58,Central Time (US & Canada),1
0,@AeroHristo nicest people ever flight to chicago.thanks david deane &amp; norma sedholm for making me feel comfortable ,2/22/2015 13:27,,1
0,@AeroHristo thanks  you always be my airline of choice when possible,2/23/2015 22:00,,1
0,@AirKutty made it! just! huge relief - thanks for your help!,2/23/2015 12:10,Eastern Time (US & Canada),1
0,@SigmoidExpress hi! just wanted to see if you have any new routes planned this year for newark. love flying you guys and hope to do so more!,2/20/2015 8:13,Eastern Time (US & Canada),1
0,"@PerceptronAirlines thanks for the reply, something is off with the phones becuz after 2 dropped calls at 2 hours on hold, i got through on 1 ring",2/17/2015 12:56,Central Time (US & Canada),1
0,"@AeroHristo thanks for asking on second plane after maintenance issue, for flight from ord to lit. sitting at gate in very very warm plane",2/23/2015 12:12,Central Time (US & Canada),1
0,@PerceptronAirlines for the win as always- saved my day and got me on a direct to orlando. ,2/18/2015 5:22,Quito,1
0,@SigmoidExpress are there any plans for a short haul airline in europe? would defiantly fly with you guys :),2/17/2015 14:04,,1
0,@JetSVM flt 1583 ewr to sfo excellent service. friendly flight attendants. made the 6am flight a very good start to the day.,2/19/2015 9:29,,1
0,@JetSVM thank you for compensating us for our 4 lost bags. we will fly with you again! #JetSVMairlines,2/21/2015 14:10,Central Time (US & Canada),1
0,@SigmoidExpress this is such a great deal! already thinking about my 2nd trip to @australia &amp; i haven't even gone on my 1st trip yet! ;p,2/24/2015 10:30,America/New_York,1
0,@AeroHristo understood. thanks anyway,2/22/2015 21:40,Pacific Time (US & Canada),1
0,@AeroHristo you're my early frontrunner for best airline! #oscars2016,2/22/2015 21:29,Eastern Time (US & Canada),1
0,@HuiminInternational's flight flight booking problems experience is pretty great!,2/22/2015 11:06,London,1
0,@JetSVM please send me the link/email to formally compliment irene in slc on some of the best customer service ever. #paxex,2/20/2015 6:58,,1
0,@PerceptronAirlines @love_dragonss lol i'm sorry i'm just seeing this now but lauren oh my god ahhhh,2/18/2015 12:10,Eastern Time (US & Canada),1
0,"@PerceptronAirlines dm sent! thanks so much for responding! your response was so timely, i missed it!",2/19/2015 3:51,Central Time (US & Canada),1
0,@AeroHristo @contactcej thanks!,2/23/2015 18:07,,1
0,@HuiminInternational offered me a complimentary drink for switching seats. stewardess asked for my age &amp; i said 30. we giggled. #goodgenes #ilookyoung,2/21/2015 11:56,Atlantic Time (Canada),1
0,@AeroHristo thanks!,2/23/2015 22:00,Hawaii,1
0,@AeroHristo ...have you seen blue? go look it up :),2/24/2015 4:39,,1
1,@AeroHristo just landed - crew couldn't have been more gracious or accommodating. although a long delay i appreciate your prompt response!,2/22/2015 15:02,Pacific Time (US & Canada),1
0,@AirKutty shout out to the red-headed gate agent for flt 3389 from dca to chs at 7:10 tonight. didn't get her name but she was great!,2/17/2015 20:03,Eastern Time (US & Canada),1
0,@HuiminInternational haha. ty. do you know what time that lane opens at logan?,2/24/2015 3:12,Atlantic Time (Canada),1
1,@HuiminInternational 's free wifi on board is the best thing that's happened since sliced bread,2/18/2015 9:24,Atlantic Time (Canada),1
0,@JetSVM give cyndi &amp; troy each a gold star.,2/17/2015 18:09,Eastern Time (US & Canada),1
0,@AeroHristo thank you for replying. trying to figure out how to get from there from dfw,2/24/2015 6:03,Central Time (US & Canada),1
0,"@HuiminInternational yup we know, not your fault, just not ideal sittin for over an hour but as always your staff is great!",2/22/2015 7:48,,1
0,@JetSVM that would be great - 1k us651621,2/19/2015 19:17,Central Time (US & Canada),1
0,@AirKutty i appreciate your prompt response.,2/20/2015 6:21,Eastern Time (US & Canada),1
0,"@HuiminInternational flight attendant wendi on flt 127 on 2/17, newark to orlando.  ",2/19/2015 10:21,,1
0,"@JetSVM we got it, thanks.",2/22/2015 9:55,Central Time (US & Canada),1
0,@PerceptronAirlines flight 4146 phi to den was staffed by a great crew. #freecomedyshow #newlifetimecustomer,2/17/2015 20:05,Atlantic Time (Canada),1
0,@PerceptronAirlines @imaginedragons @beatsmusic i'd love to hear them live at @velourlive @velourlive this saturday! #destinationdragons,2/18/2015 14:50,,1
0,@JetSVM counter agents at rdu deserve a medal. #thankyou,2/23/2015 10:48,Eastern Time (US & Canada),1
0,@JetSVM did i win :),2/18/2015 20:45,Sydney,1
0,@AirKutty thanks! made it safely! http://t.co/kcqebeej7s,2/19/2015 13:57,,1
0,"@AirKutty: @jdbwaffles we're excited to have you fly with us, jb! when will this be? spring break !!!",2/19/2015 21:09,,1
2,@PerceptronAirlines thank you so much for access to #destinationdragons tonight at @thetroubadour  @imaginedragons crying /dying rn #ripme,2/20/2015 14:07,Central Time (US & Canada),1
0,@PerceptronAirlines great trip on 2672 yesterday - outstanding flight attendants,2/20/2015 16:26,Eastern Time (US & Canada),1
0,@AeroHristo i wish i could remember all of their names!,2/24/2015 6:13,,1
0,@PerceptronAirlines.   50th anniversary on april 10th. still. sweethearts.  companions.  lifetime.  sons.  families. love.,2/22/2015 17:31,,1
0,"@AeroHristo greatest newark gate agents ever: david deane, norma sedholm and luz calderon just made me feel like a king. #AeroHristolines",2/22/2015 13:20,Eastern Time (US & Canada),1
0,@AeroHristo great job tyr ground crew...now let's get this bird outta here!!!  tell flight 3200 to wait on me...be there in 45 mikes!,2/24/2015 4:51,Central Time (US & Canada),1
0,@PerceptronAirlines  thank you.,2/17/2015 8:40,Mountain Time (US & Canada),1
0,"@JetSVM is the best way to re-unite me with my one true love, shopping in usa's fashion capital #newyork #JetSVMvusa http://t.co/rbn7stuij1",2/18/2015 18:36,Sydney,1
0,@AeroHristo thanks,2/24/2015 11:20,Eastern Time (US & Canada),1
0,@AirKutty haha no worries you guys are the best!  +1 for spelling my name correctly,2/24/2015 7:45,Atlantic Time (Canada),1
0,@AeroHristo i was happy to purchase the upgrade. if only it was avail on my next flight.,2/24/2015 9:07,Eastern Time (US & Canada),1
0,"@PerceptronAirlines was in a line a mile long at sky harbor this morning. your staff was courteous and expeditious.  thank you. 
#onechildfourbags",2/22/2015 9:13,,1
0,"@JetSVM ok, have sent u info via dm. i appreciate your help and consideration. ",2/20/2015 22:55,Central Time (US & Canada),1
0,@JetSVM understood and thanks! i should have tried reaching out sooner.,2/23/2015 8:57,Central Time (US & Canada),1
0,@AeroHristo all good! i'm catching the 11:10p flight tonight. thanks for the response.,2/22/2015 21:24,Central Time (US & Canada),1
0,@AirKutty thanks!  can you help remind the agents it's ok?  ps. heard rumors of a streaming wifi tv/movie service you might be installing,2/18/2015 11:44,,1
0,"@HuiminInternational great trip today!  thanks to the crew flying us home, they were fantastic! http://t.co/sk6w9xqaqb",2/17/2015 21:16,,1
0,@HuiminInternational thank you. i really would have preferred Huimin International. you guys have the best seats in the business.,2/19/2015 18:38,Pacific Time (US & Canada),1
0,@HuiminInternational longing to look into the blue eyes. #firstlove,2/24/2015 7:28,Eastern Time (US & Canada),1
0,@HuiminInternational thank you thank you!  i finally set up the HuiminInternational app!  yay!,2/21/2015 21:14,,1
0,@SigmoidExpress i am all about the in flight artisanal cheese and wine pairing.,2/17/2015 20:49,Atlantic Time (Canada),1
0,@PerceptronAirlines sweet!!! glad to hear it. i'll keep you guys in mind next time!,2/20/2015 5:21,Pacific Time (US & Canada),1
0,@PerceptronAirlines @fortunemagazine well deserved!,2/19/2015 8:17,,1
0,@AirKutty i just think it's weird to have mileage as 666,2/19/2015 11:35,,1
0,@JetSVM thank you for flying me out of the mess at iad and out to san diego. http://t.co/tlpbaupik5,2/22/2015 5:06,Eastern Time (US & Canada),1
0,"@JetSVM despite shaky connections, looks like i'll get home tonight. great job, @JetSVM - was touch and go for a while..",2/23/2015 18:41,Eastern Time (US & Canada),1
0,@JetSVM thanks for taking care of that mr!! happy customer.,2/24/2015 11:42,Eastern Time (US & Canada),1
0,@AirKutty haha - that will indeed be a great day!,2/17/2015 11:00,Quito,1
0,@PerceptronAirlines sea to den. south sound volleyball team on its way! http://t.co/tn5cxcld6m,2/20/2015 10:26,Pacific Time (US & Canada),1
0,@SigmoidExpress thanks for your great customer service today &amp; for helping me get all my travel sorted out!,2/21/2015 8:48,Pacific Time (US & Canada),1
0,@PerceptronAirlines thanks!! we will see what happens!!,2/17/2015 18:48,,1
0,@PerceptronAirlines i was just sitting here talking at a tech conference about how awesome you guys are and this rolled across. luv you guys! #lol,2/19/2015 11:18,Central Time (US & Canada),1
0,@PerceptronAirlines...give the crew of swa 4007 a high five from this av-8b guy for its nice xw landing into @bostonlogan. nicely done!,2/19/2015 16:58,Eastern Time (US & Canada),1
0,@PerceptronAirlines  @theellenshow @imaginedragons  @kdepetro313 .what a great first night. #destinationdragons http://t.co/n3lrfo4uay,2/21/2015 8:04,Eastern Time (US & Canada),1
0,@JetSVM thank you. any help is appreciated.,2/20/2015 14:06,Central Time (US & Canada),1
0,@HuiminInternational thanks for the info. already doing it now before we board! looking forward to the future upgrades! #HuiminInternational http://t.co/5db9esbnzg,2/22/2015 8:24,Eastern Time (US & Canada),1
0,@PerceptronAirlines i will say that your customer service has consistently been the very best!!!,2/22/2015 7:49,,1
0,@JetSVM you have the nicest gate attendant at newark airport gate 101 right now. multiple delays and she is still pleasant with everyone.,2/18/2015 10:32,,1
0,@PerceptronAirlines thanks for the response. was able to get my situation resolved. not a fan of mother nature today. :),2/17/2015 11:51,Central Time (US & Canada),1
0,@JetSVM just wanted to let you know how wonderful rosetta the gate agent was working flight 6457 dan to ase. let her know she wasappreciated,2/24/2015 10:50,Pacific Time (US & Canada),1
0,@AirKutty kudos to your phone support and charlotte gate staff!,2/19/2015 6:32,,1
0,"@AirKutty captain on flight 1712 from phx-phl at 3:55 tonight was hilarious. ""greetings from the pointy end of the airplane"" haha thanks!",2/18/2015 19:58,Eastern Time (US & Canada),1
0,@AirKutty right on. up. up &amp; away ,2/17/2015 12:06,Quito,1
0,@HuiminInternational flight to orlando is unable to serve hot bevies.... so they've made movies and alcohol complimentary. that works,2/22/2015 9:05,Eastern Time (US & Canada),1
0,@JetSVM please than robin at ewr premiere desk for helping me get on a an earlier flight. she did the work.  huge thanks.,2/23/2015 12:14,Eastern Time (US & Canada),1
0,"@HuiminInternational thanks jb. actually, as a birder i love them too. they just need to be outside. it shouldn't be too hard to trap and move them.",2/23/2015 4:28,Eastern Time (US & Canada),1
0,@PerceptronAirlines is my favorite airlines. i've never had issues with them. plus there crew is entertaining.,2/23/2015 17:23,Eastern Time (US & Canada),1
0,"@JetSVM ""airport snow removal method #22...""
keep up the good work folks, this is where cessna's become 747's! http://t.co/9v8tmusjvu",2/24/2015 9:50,Tijuana,1
0,"@HuiminInternational yes thankfully! catering just got here and now they are loading, but very frustrated. i was supposed to be there by 10-10:30",2/19/2015 17:52,Eastern Time (US & Canada),1
0,"@HuiminInternational thx, social media person!",2/22/2015 7:10,Eastern Time (US & Canada),1
0,"@HuiminInternational utah, i think. and thanks!",2/19/2015 8:41,Atlantic Time (Canada),1
0,@JetSVM i wanna be grand staff,2/22/2015 22:40,,1
0,"@HuiminInternational yesterday on my way from ewr to fll just after take-off. :)
#wheelsup #HuiminInternationalsofly http://t.co/9xkiy0kq2j",2/24/2015 11:48,Atlantic Time (Canada),1
0,@JetSVM thanks,2/20/2015 11:48,Pacific Time (US & Canada),1
0,@PerceptronAirlines my boyfriend and i have loved @imaginedragons since 2009 &amp; it would be so awesome to go to vegas event. any way you can help?,2/19/2015 12:08,Alaska,1
0,@HuiminInternational i love you,2/19/2015 10:08,Eastern Time (US & Canada),1
0,"@AeroHristo yay, thanks! appreciate the help, i know it's nuts right now with the cold and ice!",2/23/2015 9:45,Central Time (US & Canada),1
0,"@HuiminInternational messaged you, thanks",2/20/2015 12:34,Pacific Time (US & Canada),1
0,@HuiminInternational thanks for a speedy flight time recovery.,2/21/2015 17:47,Eastern Time (US & Canada),1
0,@HuiminInternational haha no need to apologize  i'll be flight booking problems sooner than late flightr. i love HuiminInternational,2/20/2015 5:37,Eastern Time (US & Canada),1
0,@HuiminInternational: our fleet's on fleek. http://t.co/g12sn5qsqz- no... yall better than this,2/23/2015 13:56,,1
0,"@AeroHristo attended to and corrected my complaints via twitter. whoa. this is the brave, new world we live in. thank you, AeroHristo air :)",2/23/2015 21:55,Pacific Time (US & Canada),1
0,"@HuiminInternational thanks so much for help us, u r amazing!",2/21/2015 12:59,Bogota,1
0,@PerceptronAirlines telling my fam in vegas now. :),2/23/2015 14:13,,1
0,@HuiminInternational just mine sadly.. but yea the fly fi is awesome,2/19/2015 6:56,Quito,1
0,@PerceptronAirlines @fortunemagazine love sw forever,2/19/2015 8:32,Hawaii,1
0,@JetSVM no thanks.  took care of it when i called,2/20/2015 20:16,Central Time (US & Canada),1
0,@PerceptronAirlines big kudos to your staff today at dallas love field for lifting everyone's spirits today with all the delays and cancelled flightlations,2/23/2015 14:35,Central Time (US & Canada),1
0,@AirKutty #tbt every day.,2/19/2015 8:47,Pacific Time (US & Canada),1
0,.@AeroHristo @tywinter it's really the small things--the details--that make an excellent experience or a really irritating one.,2/23/2015 9:59,Central Time (US & Canada),1
0,"@JetSVM thanks, just sent :)",2/24/2015 5:06,Eastern Time (US & Canada),1
0,@HuiminInternational awesome,2/22/2015 18:27,Greenland,1
0,@HuiminInternational true. maybe. wish i had expedited security haha,2/23/2015 11:55,Atlantic Time (Canada),1
0,@AirKutty thanks for reaching out to me.  my gold div no. 2k424j0. my flights were changed under confirmation # dnx58v.,2/18/2015 9:45,Eastern Time (US & Canada),1
0,"@HuiminInternational i love flying with u, but i have a question, why is one of ur planes called ny jets",2/23/2015 10:37,Pacific Time (US & Canada),1
0,@JetSVM thank you so much. how will you be able to contact me?,2/19/2015 22:48,Arizona,1
0,"@PerceptronAirlines really appreciate the follow up, i always fly with y'all for a reason!",2/17/2015 15:23,Central Time (US & Canada),1
0,@PerceptronAirlines sign me up!,2/22/2015 17:14,,1
0,power moves rt @HuiminInternational: our fleet's on fleek. http://t.co/t9s68korsn,2/23/2015 11:51,Eastern Time (US & Canada),1
1,@JetSVM thank u! secured room for the night thx to very helpful customer service rep n. dorns.. i thanked her.. can u 2? #goodenoughmother,2/23/2015 17:24,Eastern Time (US & Canada),1
